MinReturn,Steps,StdReturn,MaxReturn,Epoch,AverageReturn
-237.647170523,373200,52.8835975976,-31.3098799529,311,-106.166596082
-318.911349362,374400,100.724819883,44.9638975976,312,-83.8729383529
-140.072518318,375600,59.2781156074,67.1853554051,313,-47.6564544101
-244.659471314,376800,71.5304870824,43.8104347179,314,-60.1200209602
-190.846576193,378000,50.1885979081,-0.886877626747,315,-88.6027975666
-156.986770675,379200,38.1078505425,-17.4566095729,316,-70.8469956486
-167.221066138,380400,87.2105096435,128.414993741,317,-14.4921647006
-156.321711835,381600,51.0054524618,26.007937057,318,-57.9572640037
-162.898333424,382800,66.5073751375,46.9340589088,319,-66.3530882611
-313.643082831,384000,66.5493363504,-30.4605001088,320,-117.924720995
-183.481073895,385200,37.9938505445,-26.4357305782,321,-82.7287718649
-168.89501918,386400,49.4168190566,6.53053233702,322,-72.4999344418
-164.002854238,387600,57.9830775558,23.9707836494,323,-62.8954429977
-178.29988226,388800,67.2344099558,27.5185956682,324,-74.7575821161
-189.85077707,390000,72.5310752894,47.6538772144,325,-75.6034060486
-154.736547626,391200,55.5789526325,49.7236386737,326,-68.5261772438
-190.385285652,392400,60.4291045652,31.1947065239,327,-84.4018909926
-182.728012987,393600,82.3312808001,96.1688748606,328,-62.0475250822
-237.041201699,394800,52.4740898906,9.57448282409,329,-90.4178539096
-185.034191528,396000,54.6995245446,5.30844115264,330,-88.2580971529
-157.342896006,397200,65.5516332352,77.2853498469,331,-43.2897489668
-136.050748608,398400,36.914758763,-8.1164979889,332,-66.5698750892
-184.252459335,399600,79.1710830618,68.5258386895,333,-61.5493471154
-203.493013352,400800,78.483073676,67.0386803686,334,-93.32868793
-157.760273639,402000,37.1998594719,-33.5788846508,335,-80.836442506
-251.803239888,403200,92.153615124,80.8964746978,336,-81.317335302
-173.762722845,404400,71.8882441258,85.7520425622,337,-53.5162014488
-214.690810523,405600,72.0739158167,34.3796617334,338,-85.4849821755
-242.222339279,406800,65.9718340365,-18.1108101483,339,-108.371462464
-257.544537433,408000,79.8679807916,9.93732812039,340,-115.169693028
-257.818263634,409200,85.9029741177,3.15539252384,341,-110.906354615
-236.578941664,410400,94.8093052271,116.548057227,342,-82.6267012996
-183.428821777,411600,75.977880983,79.3403616438,343,-49.0478110751
-275.711235228,412800,69.3907473861,-46.5342069014,344,-144.850845393
-187.364592802,414000,80.6560910146,76.9113453013,345,-63.0997440808
-163.235779136,415200,56.6476721254,30.2674890236,346,-57.5171625909
-302.153557769,416400,62.9974209065,2.06654365254,347,-109.936345254
-192.166779535,417600,47.326212405,-4.98823011653,348,-94.8466684755
-315.442734142,418800,100.590983272,52.1158350254,349,-123.888199487
-225.423988739,420000,58.3711926708,-18.7751995546,350,-100.432034804
-153.459373277,421200,59.9495988744,54.1005567887,351,-66.3861143997
-240.337041645,422400,46.2270539557,-50.5014853647,352,-116.787782699
-205.073076484,423600,52.6016441619,-16.5914044398,353,-90.4410766488
-189.865039503,424800,65.1132026974,19.3904001066,354,-82.3273578411
-201.901123916,426000,93.412613339,119.456225777,355,-60.9634965268
-257.192097618,427200,59.1962902307,7.84605249822,356,-102.259621847
-152.134994196,428400,45.1533539103,-5.85881873155,357,-66.5643991167
-180.899810751,429600,51.1293850437,-22.6477943863,358,-97.7905668569
-194.895831781,430800,54.1523684586,-21.7525631474,359,-109.923702786
-205.494811512,432000,60.626821217,34.8096810831,360,-89.1795641403
-184.491236383,433200,45.8686766088,-40.0574525344,361,-92.7980450863
-170.503764178,434400,51.445859617,4.92010451161,362,-73.8695215318
-192.64868528,435600,46.2720853607,-33.3963892178,363,-99.592954759
-180.506711607,436800,73.3742026668,71.2222321095,364,-58.2622250262
-189.373010685,438000,43.1010014564,-51.9568731215,365,-116.923025437
-320.372343152,439200,71.2438636958,-10.6738973983,366,-134.510633728
-176.099362944,440400,39.5792173825,-38.2033807918,367,-92.755595066
-282.398445267,441600,111.048621588,118.063548622,368,-84.5845151407
-179.64698219,442800,47.9472555137,-32.5631829254,369,-100.954004638
-135.227194357,444000,60.4854759284,70.7867426707,370,-51.093108321
-134.569540812,445200,22.3793954675,-50.635672456,371,-78.4188132953
-157.323695606,446400,27.3218025974,-50.9791432613,372,-88.6614816905
-144.132301028,447600,31.1911320193,-45.8856313455,373,-83.4552334993
-182.521841649,448800,51.3408173565,-9.53746961239,374,-81.3478941207
-120.911811519,450000,51.6142838338,59.6646856768,375,-40.7267823114
-120.826198277,451200,70.2774152975,101.6338955,376,-27.004786182
-159.085991273,452400,39.6370220954,-22.3731385714,377,-79.4179485035
-253.217767056,453600,50.328737375,-42.1233995043,378,-130.11260209
-180.927052785,454800,42.4503130505,-25.3756562101,379,-98.7817587751
-168.636960268,456000,53.0860429304,-5.63753994873,380,-68.5602164957
-259.545645429,457200,67.2663848641,-31.253501566,381,-118.287544616
-176.03873463,458400,45.4158088229,-33.9731120608,382,-92.3467005014
-191.098850992,459600,48.3174251787,-31.1093786202,383,-118.939136268
-342.299782348,460800,76.3558518223,-38.4167075107,384,-137.650340405
-164.576706422,462000,77.8606497561,102.472912939,385,-52.823345633
-310.279449423,463200,63.5717966439,-48.2618917404,386,-129.286428367
-179.402642703,464400,41.7231976465,-24.7994881198,387,-88.6175395854
-196.739921391,465600,46.8154419704,-30.9208178444,388,-87.8878993344
-105.874359833,466800,62.768920464,128.140642223,389,-1.42031495344
-337.418481252,468000,60.59125238,-58.2756983202,390,-174.554472721
-152.826212066,469200,62.9931062681,67.9427381021,391,-51.6462313808
-237.617001868,470400,85.2136211858,86.9767392773,392,-64.6750697477
-269.698184613,471600,98.3345181187,125.348268883,393,-68.8491313363
-305.18029831,472800,56.3361345978,-37.3253152163,394,-122.964127571
-144.942709923,474000,37.3083975433,-7.37825612256,395,-78.7311799254
-309.635378181,475200,94.9053103478,69.0366695239,396,-94.7288580911
-147.315432282,476400,73.0689404529,112.091259878,397,-26.6066005095
-139.730060926,477600,66.0531241357,90.5438881353,398,-21.4331922681
-505.0128748,478800,134.639562705,-38.9415113755,399,-180.854772127
-151.816265048,480000,46.9035683543,15.7736377394,400,-83.1373890863
-140.135285039,481200,24.8267843241,-42.6967169836,401,-78.695868133
-144.072547456,482400,25.5794890847,-48.4455753649,402,-82.8540649945
-121.46073416,483600,62.9016734109,90.4632880698,403,-41.7446982503
-149.738847189,484800,37.3108557685,-13.9076340721,404,-75.8164471132
-138.680961702,486000,29.1070317542,-39.3304866993,405,-78.6258438349
-156.692546087,487200,39.5928871084,-1.68822455974,406,-72.2651113206
-326.518695482,488400,95.4653006151,34.2850260701,407,-107.019682144
-131.939350952,489600,26.7916594159,-17.4696765689,408,-71.3833170321
-197.755358026,490800,39.2545300512,-50.9662565279,409,-109.621445978
-129.169570348,492000,27.1070975268,-21.8985523663,410,-62.128594839
