Epoch,MinReturn,AverageReturn,MaxReturn,Steps,StdReturn
261,-288.346502412,-263.002045978,-224.942051023,313200,27.4018831943
262,-228.788178259,-218.481627285,-207.311811637,314400,8.78891348044
263,-302.005198281,-261.848016245,-215.007828911,315600,35.8295268288
264,-535.72337074,-353.771900631,-220.162027404,316800,133.285215093
265,-256.409965256,-177.582788977,-28.2220901674,318000,105.668222706
266,-327.648138056,-269.245389409,-232.022987588,319200,41.813057524
267,-264.27817931,-250.821894362,-230.788008851,320400,14.4417566155
268,-479.082448178,-319.012651421,-225.831521457,321600,113.694263357
269,-317.130384998,-284.938600327,-259.364022128,322800,24.0427221965
270,-404.29048899,-313.907030071,-243.680476618,324000,67.1000230848
271,-297.700735846,-266.688641178,-223.041891272,325200,31.7617343458
272,-379.87246069,-305.376803275,-217.620757576,326400,66.8993383823
273,-270.257963374,-242.773440071,-216.682966246,327600,21.8941028553
274,-268.948552613,-251.527457748,-227.683494811,328800,17.4478494292
275,-431.855224398,-328.628156978,-240.772774919,330000,78.7626906511
276,-290.477564485,-248.043632208,-217.139269922,331200,31.0303571847
277,-245.274377577,-225.756449071,-200.543954487,332400,18.6997994568
278,-553.244447091,-425.370953583,-355.344418301,333600,90.5568266549
279,-381.539143062,-328.602602264,-283.63833758,334800,40.3634307953
280,-283.055498271,-219.317586427,-117.719045606,336000,72.6136170185
281,-468.953930129,-319.896356327,-242.459012166,337200,105.42637221
282,-288.078069897,-268.634140832,-256.611537084,338400,13.8766644389
283,-292.647163529,-258.727744636,-211.142280385,339600,34.6490220245
284,-244.337409665,-164.144932882,-70.7030715679,340800,71.502356532
285,-325.382245788,-287.35772294,-253.649599077,342000,29.4433538193
286,-372.059782265,-247.861020102,-144.455246115,343200,94.0752092282
287,-591.823951414,-410.938239559,-231.539407015,344400,147.089306978
288,-383.294703314,-272.521448119,-197.899955068,345600,79.8874858739
289,-349.937835425,-211.32655762,-126.596736493,346800,98.8187571543
290,-262.085455723,-261.132251515,-259.242900008,348000,1.33599141062
291,-477.170299525,-301.453469522,-187.21615033,349200,126.103528489
292,-254.254516526,-214.972378354,-180.824703892,350400,30.1966486445
293,-456.179848758,-256.482291382,-127.853138982,351600,143.149445749
294,-237.655427032,-220.710945847,-198.893444134,352800,16.1953198248
295,-389.125673303,-249.286211838,-124.098270775,354000,108.691862039
296,-260.348670188,-239.242523423,-208.320977059,355200,22.3454210831
297,-203.441974984,-159.138599892,-79.7293302086,356400,56.2762382988
298,-371.408322767,-294.004971404,-230.351200385,357600,58.401290873
299,-243.494571011,-199.637751973,-175.354506773,358800,31.0710013051
300,-212.214872238,-189.5595804,-163.602900754,360000,19.9825809807
301,-233.805026687,-167.552365554,-102.065348047,361200,53.7852234335
302,-240.988016629,-179.788870324,-121.789605882,362400,48.7151223211
303,-204.843814063,-196.398583963,-180.129212719,363600,11.5069766771
304,-190.754112663,-132.114496538,-81.2983178211,364800,45.0262692644
305,-106.021755543,-98.0260356476,-90.9899186517,366000,6.17412117248
306,-185.867501473,-115.446742697,-56.7449064259,367200,53.361415501
307,-450.982582407,-257.514330831,-158.705062464,368400,136.813204755
308,-174.005799734,-140.781025375,-77.8457817401,369600,44.5250585145
309,-460.698259282,-272.259848269,-177.170632671,370800,133.247971783
310,-210.164341419,-184.218091363,-163.988473176,372000,19.2797408687
311,-334.76497683,-249.631707564,-168.852531079,373200,67.8034094852
312,-203.540035278,-179.467189961,-152.851901971,374400,20.7712898909
313,-329.406125191,-180.801588012,-60.6062217546,375600,111.560619594
314,-225.96290325,-198.288945017,-152.963786768,376800,32.3098684437
315,-379.129802854,-237.403458357,-147.460675504,378000,101.419258803
316,-190.991398155,-172.844822568,-157.090088437,379200,13.9431077195
317,-186.407621927,-173.747526358,-158.836123692,380400,11.3680302154
318,-303.54823678,-197.525403646,-138.996185212,381600,75.1047135527
319,-424.588779843,-270.802965737,-174.202551384,382800,109.927076765
320,-457.505290616,-290.221483303,-184.906997194,384000,119.603804209
321,-291.259903067,-134.32629765,59.9452605177,385200,145.789480116
322,-191.761771938,-131.739365569,-61.2893519526,386400,53.7730684692
323,-293.843488574,-206.695725329,-162.563978618,387600,61.624457766
324,-552.791112836,-293.912279325,-147.389814688,388800,183.585617365
325,-199.771609984,-183.521963008,-170.715427493,390000,12.1094094997
326,-199.19216228,-185.809287558,-164.281696463,391200,15.3717806274
327,-206.583208201,-159.488980304,-89.2374923601,392400,50.6273857131
328,-198.926516461,-190.467930428,-184.412923195,393600,6.16408904665
329,-239.614782756,-194.739578692,-167.451923207,394800,31.9777107097
330,-210.676475811,-198.052211279,-179.797568927,396000,13.2199997074
331,-187.278293987,-177.108811926,-160.784771653,397200,11.65863404
332,-191.067272944,-170.511461164,-158.515018606,398400,14.6027261546
333,-190.022845218,-180.826855508,-174.843165835,399600,6.60024343926
334,-206.952148766,-151.383155466,-82.4843073865,400800,51.6805873016
335,-214.026051576,-180.986544983,-150.799640265,402000,25.8907676583
336,-400.10178706,-281.020819174,-190.852525812,403200,87.8379963127
337,-219.13978724,-181.030420383,-143.914367479,404400,30.7186799741
338,-189.973789535,-141.308725024,-53.0155303098,405600,62.5416273109
339,-225.53864215,-200.594272987,-172.604686362,406800,21.7172117744
340,-199.927426884,-176.236165073,-154.714597648,408000,18.5217109033
341,-324.252959965,-220.632884394,-148.708659481,409200,75.0884836703
342,-174.192178308,-147.961906843,-108.097557415,410400,28.6535720771
343,-165.412424418,-155.632928979,-143.738481872,411600,8.97384019565
344,-272.852967374,-234.853131573,-171.726193075,412800,44.9457790935
345,-213.559040631,-194.901339537,-171.043243353,414000,17.7422534524
346,-360.179922073,-272.893268281,-178.324790276,415200,74.4203868268
347,-222.506777531,-176.215547188,-139.851976862,416400,34.4661461289
348,-183.653102004,-172.622762965,-153.111411192,417600,13.8358086665
349,-193.369244634,-153.278428693,-73.7405300873,418800,56.2424014665
350,-253.446156957,-162.558499898,-53.1850120511,420000,82.7946294341
351,-205.760840624,-177.578577092,-162.536550533,421200,19.9429884799
352,-188.907689261,-171.188988952,-156.47245464,422400,13.4107136708
353,-280.85307565,-232.314270319,-207.898263893,423600,34.3223271348
354,-184.542267952,-145.284778034,-125.027851986,424800,27.7639754296
355,-539.550824486,-308.006770529,-176.059448966,426000,164.258184671
356,-389.398544154,-277.29008582,-205.87955014,427200,80.2581085091
357,-314.214707839,-271.201590964,-248.584835572,428400,30.4283716815
358,-200.789085611,-186.122151554,-169.469819004,429600,12.8628786459
359,-475.872524726,-280.755862685,-153.335479303,430800,140.106212153
360,-225.443408288,-195.412023161,-176.792972196,432000,21.4382409303
361,-407.691263548,-261.790205755,-184.156254208,433200,103.238472953
362,-233.778907116,-205.916646303,-188.49843004,434400,19.90626285
363,-232.236351258,-205.140704233,-184.06475722,435600,20.121351996
364,-186.975876671,-142.162733492,-58.005654881,436800,59.5499144614
365,-207.602694663,-76.8103378898,-2.47927600174,438000,92.7714488617
366,-320.105484216,-197.233521151,-80.4312516726,439200,97.9406804192
367,-248.33389652,-158.22379001,-8.84527666096,440400,106.374363445
368,-247.027094434,-209.253760323,-176.454286768,441600,29.0251013448
369,-240.319162576,-185.597958472,-151.325401939,442800,39.1031349866
370,-348.552433808,-255.230792135,-173.796901622,444000,71.8371444221
371,-185.643482166,-142.995751898,-77.5851684826,445200,46.9592759851
372,-311.608459753,-190.731515327,-61.5895189519,446400,102.23698288
373,-217.981557847,-208.525542081,-191.668616948,447600,11.9491369085
374,-274.915577759,-217.319508157,-182.433689129,448800,41.0287829214
375,-363.915059111,-245.372262925,-164.486225107,450000,85.660136766
376,-259.028268735,-216.994998488,-178.369660897,451200,33.016796315
377,-192.286067326,-138.17783186,-52.9920329674,452400,60.9648434939
378,-232.799850084,-210.169881334,-194.495334225,453600,16.3929334667
379,-196.801853343,-189.582617809,-176.911816047,454800,8.98862528096
380,-194.176235459,-169.767855089,-146.933980374,456000,19.3186777915
381,-299.861229232,-214.2205418,-151.353817762,457200,62.7301249898
382,-371.114360266,-296.028711319,-251.822661876,458400,53.371587793
383,-183.223951419,-175.665169237,-170.773234986,459600,5.42150922024
384,-263.491013391,-181.065549361,-136.913859858,460800,58.3329827313
385,-184.651311238,-145.40565157,-72.7582710462,462000,51.4248275181
386,-291.539868143,-215.82219622,-166.28656207,463200,54.3827300838
387,-186.804269633,-174.218084651,-153.375087022,464400,14.8438265243
388,-241.749998228,-191.385678074,-149.32760098,465600,38.1856878393
389,-326.863810756,-268.925938231,-211.274448523,466800,47.1895940275
390,-318.240355395,-195.39312369,-40.5671542205,468000,115.592910435
391,-348.702927069,-265.422213012,-178.552931755,469200,69.5097767093
392,-250.678054494,-183.469834354,-133.176684486,470400,49.4383972915
393,-348.435564075,-229.792948798,-151.707814161,471600,85.2804542809
394,-194.050744448,-192.492316461,-190.120545239,472800,1.70445726825
395,-270.603043765,-253.363722989,-232.112347217,474000,15.9677982025
396,-330.029755676,-258.248353726,-147.48220391,475200,79.4596756791
397,-255.434381908,-181.979578273,-71.2212793389,476400,79.6964234274
398,-182.327135455,-126.669552998,-40.8120329442,477600,61.5936048239
399,-281.811122263,-226.382067287,-182.863360413,478800,41.2638436383
400,-231.245723484,-197.30440433,-168.727833136,480000,25.8031915842
401,-232.508831403,-178.130463161,-132.865852674,481200,41.1863750755
402,-171.537383813,-162.51626395,-152.970815651,482400,7.58883186277
403,-181.002565241,-140.780805018,-73.6845102448,483600,47.7561283154
404,-247.939410909,-198.172317049,-146.920313997,484800,41.2542377761
405,-185.030045727,-175.784123369,-168.008476167,486000,7.02636650291
406,-637.61258643,-371.166257267,-195.452417617,487200,191.57364504
407,-217.480650385,-175.225400995,-108.77491564,488400,47.5625291884
408,-162.107397052,-145.593546618,-134.828780197,489600,11.855229778
409,-418.483096431,-300.144776621,-220.433882873,490800,85.3421790245
410,-206.23590333,-170.898674783,-136.397880941,492000,28.5173872116
411,-207.415160751,-131.221746283,-74.1005676229,493200,56.071429559
412,-250.471503657,-187.032877921,-119.431912531,494400,53.577591175
413,-211.592937713,-199.302226357,-192.188046539,495600,8.7267714323
414,-369.605263085,-201.736418062,-66.1826319205,496800,125.961688748
415,-487.636775511,-394.176395602,-309.857654054,498000,72.8653148871
416,-193.144838989,-146.605518176,-80.0083402978,499200,48.3163537296
417,-179.275056548,-110.334498715,-1.47422847766,500400,77.8822666784
418,-225.037757535,-144.677305781,-13.1720797839,501600,93.7500481829
419,-312.609249228,-212.001049456,-144.060630528,502800,72.5835020071
