MinReturn,MaxReturn,ExplainedVariance,LossAfter,LossBefore,Iteration,StdReturn,Entropy,AverageDiscountedReturn,AverageReturn,AveragePolicyStd,Perplexity,MeanKL,MaxKL,NumTrajs
-3.35897264878,-3.35897264878,2.68355769828e-08,-0.061628722284175146,-0.052119867295883165,98,0.0,0.930790340278,-2.18233461069,-3.35897264878,0.613761911129,2.53651309409,0.002226878867028651,0.002531533470019831,1
-3.76940170226,-3.76940170226,1.66600667706e-08,-0.07656862724464779,-0.07265768580218245,99,0.0,0.924781528338,-2.44701241668,-3.76940170226,0.610084989258,2.52131736379,0.0026097545678567344,0.0029933345601826367,1
-2.71318683351,-2.71318683351,3.1927494093e-08,0.016260817499717636,0.01362321122858902,100,0.0,0.918512865486,-1.6470911657,-2.71318683351,0.606272534132,2.50556151095,0.0014231293034438985,0.001623037279114281,1
-3.77650681783,-3.77650681783,2.38051504065e-08,-0.004459904106517196,-0.0052741597778552494,101,0.0,0.913003005159,-2.39089342562,-3.77650681783,0.602941243051,2.49179417985,0.0010049978205206877,0.0011608180189077721,1
-3.3169170682,-3.3169170682,2.46239804103e-08,-0.026168122658834926,-0.023966941315599746,102,0.0,0.907955935717,-2.07660419806,-3.3169170682,0.599905823159,2.47924960489,0.0012982458472809344,0.0013496254730916979,1
-3.69459978909,-3.69459978909,1.66546051394e-08,-0.11342788031314427,-0.10885236560177637,103,0.0,0.903106520806,-2.40752980821,-3.69459978909,0.597003673466,2.46725579986,0.0020345197834840557,0.0021655192592971995,1
-4.02487736958,-4.02487736958,1.6630842592e-08,0.0010869089595041048,0.004389448939633302,104,0.0,0.897464417558,-2.56646857514,-4.02487736958,0.593644801562,2.45337448463,0.00015805215272526985,0.00015861869971356413,1
-4.01329570171,-4.01329570171,1.89810771545e-08,-0.138838133891494,-0.13640865966766813,105,0.0,0.892413338132,-2.66558789202,-4.01329570171,0.590653814734,2.44101353959,8.724449649236132e-05,8.865385428724615e-05,1
-3.95242088761,-3.95242088761,1.19486966987e-08,-0.054643216759737136,-0.04245634206718779,106,0.0,0.88628937296,-2.53775541037,-3.95242088761,0.5870477244,2.42611053699,0.0016121203257160965,0.001662908526832263,1
-3.89899228393,-3.89899228393,1.9950490926e-08,0.05933628754670703,0.05739546102905579,107,0.0,0.880252946728,-2.31956650565,-3.89899228393,0.58351472818,2.41150961274,0.0007109114198775468,0.0007234837484848544,1
-3.4179177576,-3.4179177576,2.2202780614e-08,-0.0021346627576600487,-0.002980602164731312,108,0.0,0.875489685117,-2.11172778153,-3.4179177576,0.580741903962,2.40005027516,0.00024365074243311137,0.0002562192612606262,1
-2.86885980745,-2.86885980745,5.78972801923e-08,-0.001740386010349404,0.0012281688365784582,109,0.0,0.871146202031,-1.78372204001,-2.86885980745,0.578224931496,2.38964830413,0.00020050455643286891,0.00021112951163382299,1
-3.79511798988,-3.79511798988,2.14618068872e-08,-0.030601918032605094,-0.029060486769913237,110,0.0,0.867232957775,-2.42722870968,-3.79511798988,0.575966617653,2.3803152997,8.018433732485452e-05,8.836745143581126e-05,1
-3.90229517997,-3.90229517997,2.35941006732e-08,-0.06739059464558776,-0.06342412045617542,111,0.0,0.863345207536,-2.50891226061,-3.90229517997,0.573731750415,2.3710791938,0.00030531869381793866,0.00033005917588913025,1
-3.05754829345,-3.05754829345,3.10830008399e-08,-0.016361766713928465,-0.01331019609942936,112,0.0,0.859071773336,-1.96665903296,-3.05754829345,0.57128517689,2.36096816268,0.0001761839337168669,0.00017967384276240672,1
-3.33588392224,-3.33588392224,2.56561093481e-08,-0.04158577529263654,-0.03889871972003327,113,0.0,0.855046209644,-2.15455362799,-3.33588392224,0.568990054704,2.35148303926,0.0005393016473144962,0.0005808876066967228,1
-2.58301171501,-2.58301171501,3.28065851152e-08,-0.003768517890205869,-0.004132304666926481,114,0.0,0.850935423262,-1.56133064647,-2.58301171501,0.566655859112,2.34183643595,0.0003186373070527937,0.00032360414478183053,1
